body,title
"

Hoy es un buen día para ser un seguidor de 'The Legend of Zelda', una de las saga más emblemáticas de Nintendo. Esto porque desde hoy 'The Legend of Zelda: Skyward Sword HD, un amiibo de Zelda y también una edición limitada de los Joy-Con de Nintendo Switch se pusieron a la venta.

Incluso ya inició la preventa del Game & Watch edición limitada de esta serie. Pero sin duda uno de los productos más buscados son este par de controles que han estado muy escasos.
 









The Legend of Zelda: Skyward Sword HD ya disponible


PVP en Amazon México $1,289.00


PVP en Elektra $1,399.00PVP en Bodega Aurrera $1,488.00PVP en Walmart $1,488.00PVP en Coppel $1,699.00






Durante la madrugada pudimos avisar a nuestros seguidores de Twitter y Facebook que hubo nuevas unidades disponibles en Amazon México por 2,299 pesos, pero estos duraron muy poco tiempo. En una publicación que hicimos hace unos meses pueden aprender a utilizar Keepa para rastrear la disponibilidad de productos en esta tienda.

Revisamos otras opciones en México como Walmart y GamePlanet que al parecer ya dieron de baja el sitio de estos Joy-Con después de haber terminado con su inventario. En otras como Sam's Club y Soriana no están listados y en El Palacio de Hierro y Sanborns ya se agotaron.










Donde sí encontramos disponibilidad fue en Coppel aunque aquí están más caros, pues tienen un precio de 2,799 pesos y envío gratis. En MixUp están por 2,299 pesos y también con envío gratis. Mientras tanto en Liverpool se puede conseguir por 2,549 pesos, y sí, tampoco hay que pagar envío.

Una opción más económica es en Sears que en estos momentos los tienen en 2,139 pesos y sin costo de envío. Si nos metemos a Claro Shop, podemos encontrarlos vendidos también por Sears y por Sanborns al mismo precio y se puede pagar con cargo a tu recibo de Telmex.

Finalmente también está la opción de comprarlos en eBay, donde encontramos un vendedor con calificación ""excelente"" y que ya con envío estarían costando cerca de 2,600 pesos. Mercado Libre por ahora no nos parece una buena opción, y que el precio más bajo que encontramos con un buen vendedor fue de 3,500 pesos.

    
Podemos ver que en este caso tenemos dos tonalidades de azul y en ambos hay algunos detalles alusivos al juego en dorado, además de que tenemos el emblema de la cresta de la diosa en el control izquierdo y la trifuerza en el derecho.

Los sujetadores de estos Joy-Con vienen en color blanco y el cordón también es de tonalidades azules. Con la transmisión del Nintendo Direct en E3 2021 muchos juegos se unieron también a la sección de preventa, además de que desde antes tres entregas de Pokémon que saldrán en 2021 y 2022 y se podían apartar.












        En Xataka México Selección publicamos las mejores ofertas en tecnología, videojuegos, coleccionables y demás categorías que estén en descuento en distintas tiendas en línea de México. El precio y disponibilidad del producto están sujetos a cambios sin previo aviso.
    

Algunos de los enlaces de esta publicación pueden pertenecer a un programa de afiliados. Ninguno de los artículos mencionados han sido propuestos ni por las marcas ni por las tiendas, siendo su introducción una decisión única del equipo de editores.
 




    Compartir
    
           Los Joy-Con de 'The Legend of Zelda: Skyward Sword HD' llegan a México: cuánto cuestan y dónde comprarlos
         


Facebook
Twitter
Flipboard
E-mail



Temas

Videojuegos
Selección


Zelda Skyward Sword
Amazon México
Nintendo Switch
Guía de compras




","
         Los Joy-Con de 'The Legend of Zelda: Skyward Sword HD' llegan a México: cuánto cuestan y dónde comprarlos   "
"

Apple está lanzando en México su Programa de Proveedor de reparación independiente, con el que permitirá que, empresas que cumplan los requisitos, puedan ofrecer servicios de reparación de iPhone y Mac cuando estos ya estén fuera de la garantía. 

Las empresas que se inscriban y cumplan los requisitos tendrán ""acceso a piezas originales, herramientas, capacitaciones, diagnósticos y recursos de Apple"" para, por ejemplo, poder cambiar pantallas y baterías de iPhone así como reemplazar tarjetas de video o lógicas de las Mac. 
 


Para participar será necesario que la empresa esté legalmente constituida, además deben contar con un ""punto de servicio con entrada directa en un lugar de fácil acceso"", en pocas palabras, no pueden participar empresas que operen en una dirección residencial. 










Cabe destacar que tanto las herramientas, capacitación, guías de servicio y diagnósticos de Apple son totalmente confidenciales, además de que para hacer uso de piezas originales para las reparaciones se requerirá tener un técnico certificado por la empresa, los cuales deben superar exámenes para obtener la certificación. 

Para las empresas que deseen aplicar en dicho programa, Apple ha puesto a disposición un formulario que tendrán que llenar y enviar para realizar dicha solicitud. Aunque quien aplique deberá echarle un buen ojo  al contrato 

    





    Compartir
    
           Apple lanza en México su programa de reparación independiente: así puedes inscribirte para reparar iPhone y Mac de manera oficial
         


Facebook
Twitter
Flipboard
E-mail



Temas

Celulares y Smartphones
Ordenadores
Empresas y economía


Apple




","
         Apple lanza en México su programa de reparación independiente: así puedes inscribirte para reparar iPhone y Mac de manera oficial   "
"

vivo anunció su llegada oficial a México el mes pasado. La presentación con todos los detalles de su arribo será este jueves 15 de julio por la noche en un evento que se transmitirá en línea. Sin embargo, faltando unas horas para esta celebración, Telcel se ha adelantado a vivo y ha revelado parte importante de lo que la compañía trae a nuestro país.









1 Hora - Power bank de 10,000 mah con cuatro Cables incorporados


PVP en Amazon México $229.00








Los primeros smartphones vivo en México, con Telcel
El primer detalle importante a tener en cuenta es que vivo llega a México con el apoyo de Telcel, eso es seguro. Lo que no se sabe es si además comercializará sus equipos por otros medios de venta libre. En cuanto a los smartphones, por el momento Telcel confirma la llegada de tres: vivo Y11s, vivo Y20 y vivo v21. 
 


Del primero ya tuvimos pistas hace algunas semanas, pero los otros dos son nuevos en el radar. Mientras el Y11s es un smartphone de gama de entrada, el Y20 sube un poco el listón a la gama media básica, pero lo verdaderamente interesante llegará con el V21, un smartphone enfocada a la gama media-alta con una llamativa cámara frontal de 44 megapixeles. 

      vivo V21  
Más importante aún que la revelación de los primeros smartphones de vivo que llegarán a México de la mano de Telcel, son los precios que tendrán:


vivo Y11s, 3/32 GB: 3,999 pesos
vivo Y20, 4/64 GB: 4,919 pesos
vivo v21, 8/128 GB: disponible próximamente

Por el momento es toda la información que tenemos respecto a la llegada de vivo y sus primeros smartphones en México. Como ya mencionamos, por la noche se celebrará el evento oficial de presentación y seguramente ahí se revelarán todos los detalles pertinentes. Estamos al pendiente.










¡Muchas gracias por el tip, Franky!





    Compartir
    
           Telcel se adelanta a vivo: Y11s, Y20 y V21 son algunos de los smartphones que comercializará la empresa en México
         


Facebook
Twitter
Flipboard
E-mail



Temas

Celulares y Smartphones


México
Telcel
Vivo




","
         Telcel se adelanta a vivo: Y11s, Y20 y V21 son algunos de los smartphones que comercializará la empresa en México   "
"

Junto con HarmonyOS, Huawei presentó en junio pasado una oleada de nuevos productos, entre ellos la cuarta generación de sus audífonos true-wireless con cancelación de ruido, los FreeBuds 4. Y la buena noticia es que no hemos tenido que esperar mucho para verlos en México.


Los Huawei FreeBuds 4 llegan a México con un precio oficial de 2,999 pesos, y estarán disponibles a partir de 22 de julio en la tienda en línea de la compañía. Posteriormente, del 29 de julio al 4 de agosto estarán en preventa en Amazon México por el mismo precio, y a partir del 5 de agosto se podrán comprar en Mercado Libre, Telcel, Liverpool, Coppel y las tiendas físicas Huawei Experience Store.
 











En Xataka México

Probamos HarmonyOS en México: la promesa de Huawei de un competidor para iOS y Android es sólida, pero aún tiene mucho por delante



Huawei FreeBuds 4 en México, características técnicas
        Huawei FreeBuds 4      Dimensiones y peso   Auriculares: 41.4 x 16.8 x 18.5 mm, 4.1 gramos cada uno
Estuche: 58 x 21.2 mm, 38 gramos     Drivers y códecs   14.3 mm     Conexión y compatibilidad   Bluetooth 5.2
Conexión con dos dispositivos al mismo tiempo     Batería   30 mAh cada auricular, hasta 4 horas de reproducción sin cancelación de ruido
410 mAh en el case, hasta 22 horas de carga, sin cancelación de ruido Carga por USB Type-C     Otros   Cancelación activa de ruido
Controles táctiles
Certificación IPX4 contra agua     Precio   2,999 pesos    
    
Los FreeBuds 4 mantienen el diseño de generaciones pasadas, con formato abierto, pero más pequeño y cómodo según Huawei, además de que mejoran su sonido y tecnología de cancelación de ruido, logrando cancelar sonidos de hasta 25 dB, según las cifras oficiales. 








Huawei FreeBuds 4i - Audífonos Inalámbricos (Conexión Bluetooth 5.2, Cancelación de Sonido Durante Llamada) - Blanco


PVP en Amazon México $1,499.00








Además, Huawei presume del análisis del eco del oído para ajustar mejor la cancelación de ruido dependiendo de la situación. Esto complementa la inteligencia artificial en los audífonos que analiza y adapta automáticamente el sonido para ofrecer una experiencia de audio personalizada para cada usuario. Además, los FreeBuds 4 presumen de conexión simultánea con dos dispositivos. 

En cuanto a autonomía, Huawei promete hasta 4 horas de reproducción y hasta 22 horas de carga extra en el estuche de los FreeBuds 4, todo esto con la cancelación de ruido desactivada. Al activar la cancelación de ruido la autonomía se reduce a 2.5 horas y 14 horas, respectivamente.















    Compartir
    
           Huawei FreeBuds 4 llegan a México: mejor sonido y mejor cancelación de ruido, lanzamiento y precio oficial
         


Facebook
Twitter
Flipboard
E-mail



Temas

Audio
Accesorios


México
Huawei
FreeBuds 4




","
         Huawei FreeBuds 4 llegan a México: mejor sonido y mejor cancelación de ruido, lanzamiento y precio oficial   "
"

Hay muchas opciones de teclados en el mercado, pero la pregunta siempre es, ¿de membrana o mecánico? Se sabe que aunque sea uno de gama baja, un teclado mecánico siempre tendrá un mejor desempeño para diferentes actividades.

Esta opción de la marca Fiodio cuesta apenas 506 pesos. No será quizá el más moderno ni el de mejor calidad, peor es una buena oportunidad para probar este tipo de escritura y a un costo muy bajo.
 









Teclado mecánico Fiodio con RGB , 104 teclas anti-ghosting, switches negros y cuerpo metálico


PVP en Amazon México $506.61








Se trata de un producto importado desde Estados Unidos y cuenta con los beneficios de Amazon Prime, así que los usuarios con esta suscripción no tienen que pagar envío y el tiempo de entrega es de entre seis y nueve días desde que se manda. Debido a su bajo costo, tampoco hay que pagar una tarifa de importación.

El cuerpo de este teclado está hecho de metal y plástico ABS, tiene switches de color negro que son de los más básicos y el reposa muñecas que incluye se adhiere de forma magnética. Cuenta con 19 modos diferentes de iluminación y podemos personalizar tres más a nuestro gusto.












        En Xataka México Selección publicamos las mejores ofertas en tecnología, videojuegos, coleccionables y demás categorías que estén en descuento en distintas tiendas en línea de México. El precio y disponibilidad del producto están sujetos a cambios sin previo aviso.
    

Algunos de los enlaces de esta publicación pueden pertenecer a un programa de afiliados. Ninguno de los artículos mencionados han sido propuestos ni por las marcas ni por las tiendas, siendo su introducción una decisión única del equipo de editores.
 




    Compartir
    
           Este teclado mecánico tiene 19 diferentes modos de iluminación RGB y cuerpo metálico: de oferta en Amazon México por 506 pesos
         


Facebook
Twitter
Flipboard
E-mail



Temas

Periféricos
Selección


Descuento
Ofertas
Amazon México
teclado mecánico
RGB
PC Gaming




","
         Este teclado mecánico tiene 19 diferentes modos de iluminación RGB y cuerpo metálico: de oferta en Amazon México por 506 pesos   "
"

El reconocido como tercer repunte de casos de COVID-19 arrojó nuevamente más de 12,000 contagios por segundo día consecutivo, en lo que las gráficas dejan ver como una alza que no se estabiliza. Con los aumentos de los últimos días, la semana epidemiológica actual, la 28, ya acumula más casos que los de la peor semana de la primera ola, cuando en julio de 2020 México enfrentó su peor momento de la epidemia hasta el momento. 


El incremento desenfrenado
En aquel entonces, los confirmados de la semana 29 fueron 49,541 casos. En la semana epidemiológica 28 que comenzó el pasado domingo se han confirmado más de 61,000 casos, según se registra en los reportes técnicos diarios de Secretaría de Salud. 
 


El pasado sábado, al final de la semana epidemiológica anterior, los casos totales en México eran 2,567,821 casos. El nuevo reporte técnico diario del 15 de julio reporta 2,629,648 casos. La diferencia es de 61,827 nuevos casos, todavía con dos días pendientes de la semana epidemiológica. 

Ciudad de México encabeza el número de casos activos, con 25,704 casos. Le siguen México con 6,513; 3,669 con Sinaloa; Veracruz con 3,154 casos y Jalisco con 2,926 casos.

    
Pese al repunte, ya superior en números al de julio del 2020, la vacunación no ha sido en vano. En la semana 29 del 2020 se registraron 5,716 defunciones, pero en la actual semana se han registrado 1,282 defunciones, menos de un cuarto de las de hace un año, con todo y que el incremento de casos en los cinco días de esta semana respecto a toda la semana 29 del 2020 es ya del 25%. 

En México cuatro de cada 10 personas mayores de 18 años han recibido al menos una dosis de la vacuna contra COVID-19, lo que equivale a 36.2 millones de personas
La tercera ola no tiene, por ahora, los números de la segunda ola que ocurrió en enero, cuando los casos confirmados se dispararon hasta los 108,000 en la primera semana del año. No obstante, es de notar que en la semana 26 los confirmados fueron 40,869, así que en solo 12 días ha habido un incremento del 51%. Si el ritmo de nuevos contagios no cesa, México podría llegar nuevamente a los 100,000 casos en solo un par de semanas. 















    Compartir
    
           La tercera ola de COVID en México ya generó 61,000 nuevos casos en cinco días, más que en la peor semana de la primera ola
         


Facebook
Twitter
Flipboard
E-mail



Temas

Medicina y Salud


Coronavirus
Coronavirus en México




","
         La tercera ola de COVID en México ya generó 61,000 nuevos casos en cinco días, más que en la peor semana de la primera ola   "
"

ZTE utilizó a México como el escenario para la presentación oficial de los nuevos integrantes de su familia de gama media: los ZTE Blade V30 y Blade V30 Vita son oficiales y México es el primer país al que llegarán. 


Los Blade V30 y Blade V30 Vita estarán disponibles en México a partir del 22 de julio en el catálogo de Telcel, es decir que también estarán disponibles en numerosos distribuidores autorizados del operador en el país. Sus precios serán:
 



Blade V30, 4/128 GB: 6,199 pesos
Blade V30 Vita, 3/128 GB: 5,099 pesos

ZTE Blade V30 y Blade V30 Vita en México, características técnicas
        ZTE Blade V30   ZTE Blade V30 Vita      Pantalla   6.67 pulgadas
Resolución FullHD+
Agujero en pantalla   6.82 pulgadas
Resolución HD+
Notch de gota     Chipset   UNISOC T618   Octa-core a 1.6 GHz     Memoria RAM y almacenamiento   4 GB de RAM
128 GB de almacenamiento, expansible con microSD hasta 512 GB   3 GB de RAM
128 GB de almacenamiento, expansible con microSD hasta 512 GB     Sistema operativo   Android 11 con capa MyFlavorOS   Android 11 con capa MyFlavorOS     Cámaras traseras   Cuádruple: 64 megapixeles f/1.8 principal
8 megapixeles ultra gran angular con campo de visión de 120
5 megapixeles macro hasta 3 cm
2 megapixeles para profundidad   Triple: 48 megapixeles f/1.8 principal
5 megapixeles macro hasta 3 cm
2 megapixeles para profundidad     Cámara frontal   16 megapixeles   8 megapixeles     Batería   5,000 mAh con carga rápida de 18W por USB Type-C   5,000 mAh con carga por USB Type-C     Otros   Sensor de huellas lateral
4G LTE
Jack 3.5 mm de audio   Sensor de huellas lateral
4G LTE
Jack 3.5 mm de audio     Precio   6,199 pesos   5,099 pesos    
    
Los nuevos smartphones de ZTE sigue la línea técnica de la familia Blade, con prestaciones enfocadas a la gama media, pero ahora ambos Blade V30 y Blade V30 Vita reciben un merecido rediseño con las líneas estéticas del Axon 30 Ultra.

El Blade V30 tiene pantalla de 6.67 pulgadas FullHD+ con agujero para la cámara frontal, chipset UNISOC Tiger T168 (el mismo que el del Axon 20 que llegó a México), 4 GB de RAM y 128 GB de almacenamiento expandible. Cuatro cámaras son sensor principal de 64 megapixeles son su principal característica, junto con una gran batería de 5,000 mAh con carga rápida de 18W. 

      Blade V30 Vita  
Por otro lado, el Blade V30 Vita crece en tamaño hasta las 6.82 pulgadas, pero se queda con resolución HD+ y notch de gota. En potencia, usa un chipset octa-core no especificado apoyado por 3 GB de RAM, pero también 128 GB de almacenamiento expandible. Las cámaras en su espalda con tres, lideradas por un sensor principal de 48 megapixeles, y mantiene la batería de 5,000 mAh, pero no se especifica si tiene carga rápida.  

Es importante mencionar que a pesar de que en la presentación solo se mencionó la disponibilidad de los Blade V30 y Blade 30 Vita con Telcel, la página de ZTE México menciona que también estarán disponibles con AT&T, Movistar y en tiendas como Amazon, Coppel, Elektra, entre otras. 

    
Así es como ZTE refuerza su catálogo de smartphones para México y renueva sus opciones disponibles para los usuarios. Sin embargo, la competencia también ha hecho lo propio e incluso han llegado nuevos nombres al mercado nacional y la competencia está más reñida que nunca.















    Compartir
    
           ZTE Blade V30 y Blade V30 Vita llegan a México: cuatro cámaras y 5,000 mAh para la gama media, lanzamiento y precio oficial
         


Facebook
Twitter
Flipboard
E-mail



Temas

Celulares y Smartphones


México
Telcel
ZTE




","
         ZTE Blade V30 y Blade V30 Vita llegan a México: cuatro cámaras y 5,000 mAh para la gama media, lanzamiento y precio oficial   "
"

Volkswagen tiene preparados los lanzamientos de más eléctricos que complementen su gama rumbo a un nuevo futuro. Uno de ellos ya fue anunciado por Herbert Diess, CEO de la empresa, y fue llamado ID. 8, el cual será el SUV más grande de su oferta.

De acuerdo con el documento que compartió Diess en Linkedin, el ID. 8 tendría el tamaño del Atlas, por lo que sería su variante eléctrica. El Atlas, llamado Teramont en México, es un SUV de 5 metros de largo.
 









Este es el Volkswagen Atlas (Teramont en México), tamaño del que probablemente será el ID. 8



Este modelo encabezará la línea actual eléctrica de Volkswagen que ya incluye el ID. 3 (del tamaño de un Golf), el SUV ID.4 y el ID. 6, que es actualmente el modelo eléctrico más grande de VW pero está sólo disponible en China. El ID. 8, posiblemente con tres filas de asientos, será una alternativa al Model X de Tesla y los próximos modelos BMW iX y Audi e-Tron.

Como probablemente será el sucesor del Atlas, la plataforma en la que podría construirse sería la MEB de Volkswagen, sin embargo, por ahora no hay más detalles sobre el nuevo eléctrico.

Diess también reveló que habrá un ID. 6 que llegará al segmento del Passat, sin embargo, no quedó claro si sólo será para el mercado chino. El próximo ID. 8 forma parte de la nueva estrategia comercial ""New Auto"" de VW con la que planea que las ventas de eléctricos sean el 50% del total para 2030.















    Compartir
    
           Volkswagen ID. 8: un nuevo SUV eléctrico está en camino y será el más grande de la línea con hasta 5 metros de largo 
         


Facebook
Twitter
Flipboard
E-mail



Temas

Automóvil


Volkswagen
Auto Eléctrico




","
         Volkswagen ID. 8: un nuevo SUV eléctrico está en camino y será el más grande de la línea con hasta 5 metros de largo    "
"

Walmart de México y Centroamérica presentó el día de hoy Scan & Go, una herramienta diseñada para la aplicación de Sam’s Club para aquellos usuarios que quieran pagar directamente desde su smartphone al acudir a una de las tiendas que tienen en todo el país.

La herramienta se incorpora directamente en la aplicación de Sam’s Club de iOS y Android y la manera en que funciona es muy sencilla, lo único que se necesita es ingresar a Scan & Go para que se active la cámara del smartphone para capturar el código de barras de los productos. 
 












“Scan & Go llega a México en el marco del 30 Aniversario de Sam’s Club en el país, como parte de la estrategia de innovación continua para ofrecer soluciones cada vez más ágiles para los socios.”

Cuando la aplicación detecte el código arrojará el tipo de producto y el precio actual. Al seleccionar todos los productos deseados de la tienda, solamente se deberá seleccionar “Finalizar compra” para realizar el pago desde el smartphone.

    
Al completar el pago la aplicación mostrará un código que se tendrá que mostrar con la persona encargada de verificar los productos antes de la salida. No es necesario pasar por ninguna caja.

Scan & Go tiene más de tres años en Estados Unidos y fue diseñado como una herramienta para mejorar la experiencia de compra de los usuarios. En el caso de México señalan que la opción es ideal para agilizar el proceso de compra y reducir el contacto con otras personas para fortalecer las medidas de sana distancia.

Recordemos que hace poco Walmart también lanzó un servicio de suscripción para tener envíos gratis en todos los pedidos realizados en la modalidad ""Mismo día"".
 




    Compartir
    
           Sam’s Club ya permite en México escanear los productos con su app y pagar directamente desde el smartphone para evitar las cajas
         


Facebook
Twitter
Flipboard
E-mail



Temas

Comercio Electrónico


Walmart




","
         Sam’s Club ya permite en México escanear los productos con su app y pagar directamente desde el smartphone para evitar las cajas   "
"

En noviembre de 2020 fueron llamados a revisión en Estados Unidos 68,667 Chevrolet Bolt eléctricos que se fabricaron en 2017 y 2019 por problemas con la batería. De esos autos reparados, dos recientemente se incendiaron y ahora Chevrolet vuelve a llamar estos modelos para retirarlos nuevamente a revisión.


Uno de los incendios ocurrió mientras el vehículo se cargaba en la casa de un legislador del estado de Vermont a principios de este mes. El otro incendio ocurrió en Nueva Jersey, dijo un portavoz de GM.
 


      Así quedó el Bolt del legislador de Vermont.  
Como medida precautoria, Chevrolet pidió a los propietarios de estos autos, que no carguen los eléctricos durante la noche y que mejor los estacionen fuera:


""Por precaución, estamos pidiendo a los propietarios de Chevrolet Bolt EV 2017-2019 que fueron parte de la población del retiro del mercado a estacionar sus vehículos al aire libre inmediatamente después de la carga y no dejar sus vehículos cargando durante la noche mientras investigamos estos incidentes""

La Administración Nacional de Seguridad del Tráfico en las Carreteras (NHTSA por sus siglas en inglés) de Estados Unidos también emitió la misma advertencia a los propietarios ayer por la noche y comentó que aún se encuentra investigando el problema y los dos nuevos incendios. Además, comentó a los propietarios que ellos mismos pueden ingresar su número de VIN en esta página para verificar si su Bolt está incluido en la revisión.

La posible causa
De acuerdo con la NHTSA, los paquetes de celdas de batería en los vehículos impactados tienen el potencial de ""fumar"" y encenderse internamente, lo que podría extenderse al resto del vehículo y causar un incendio en la estructura si el vehículo está estacionado dentro de un garaje o cerca de una casa.

    
Por su parte, GM no ha emitido información alguna sobre las causas de los incendios, pero estos modelos de Bolt usan las mismas celdas de LG Chem que el Hyundai Kona EV, el cual fue llamado a revisión después de múltiples informes de incendios y que fue sacado del mercado por completo en Corea del Sur.

Hasta ahora se han documentado nueve incendios de Bolts en Estados Unidos, por lo que Chevrolet decidió mejor recomprar docenas de estos eléctricos que presentan ""riesgo de incendio"", esta medida ayudaría a calmar a clientes descontentos y así evitar llegar a tribunales por demandas colectivas.

Apenas en mayo pasado, Chevrolet confirmó que su nueva Bolt EUV 2022 llegará a México durante el segundo trimestre de este año. Se trata de la primera SUV compacta totalmente eléctrica de la compañía, la cual presume una autonomía de hasta 397 km con una sola carga, sin embargo aún no se sabe el precio o las versiones en las que estará disponible.















    Compartir
    
           Dos Chevrolet Bolt eléctricos se incendian: GM pide a los propietarios no dejar cargándolos toda la noche y estacionarlos fuera de la casa
         


Facebook
Twitter
Flipboard
E-mail



Temas

Automóvil


Batería
Chevrolet
Incendio
Bolt
Bolt EV




","
         Dos Chevrolet Bolt eléctricos se incendian: GM pide a los propietarios no dejar cargándolos toda la noche y estacionarlos fuera de la casa   "
