llbandmember,dsnombre,dsapellido1,dsapellido2,dsaka,fcfechanacimiento,boestatus,llnationality
1,Jeff,Scott,Buckley,Scott Moorhead,1966-11-17,False,1
2,Karl,Hans,Berger,,1935-03-30,False,2
3,Mick,Grondahl,,,1968-05-07,False,3
4,Michael,Oliver,Tighe,,1969-04-15,False,1
5,Andy,Wallace,,,1947-07-25,False,1
6,Kurt,Donald,Cobain,,1967-02-20,False,1
7,Krist,Anthony,Novoselic,,1965-05-16,False,1
8,David,Eric,Grohl,Late!,1969-01-14,False,1
9,Bryan,David,Vig,Butch,1955-08-02,False,1
10,Daniel,Quine,Auerbach,,1979-05-14,True,1
11,Patrick,James,Cartney,,1980-04-15,True,1
